"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","EventHub Home Page","1","0","User can navigate to Events from the home page","0"
"0","","0","EventHub Events Discovery and Creation","1","0","User can search the events listing","0"
"0","","0","EventHub User Sign In","2","0","Sign in requires both email and password to be present","0"
"1","","0","EventHub My Bookings","0","0","User can open events from the bookings page","0"
"0","","0","EventHub Events Discovery and Creation","1","0","User can fill new event details on the admin form","0"
"0","","0","EventHub Events Discovery and Creation","1","0","User can move from events page to the new event form","0"
"0","","0","EventHub Events Discovery and Creation","1","0","User can fill attendee details on the booking form","0"
"0","","0","EventHub API - Authentication","1","0","Successfully register a new user","0"
"0","","0","EventHub My Bookings","1","0","My Bookings page loads for a signed-in user","0"
"0","","0","EventHub API - Bookings","1","0","Retrieve all bookings","0"
"0","","0","EventHub User Sign In","1","0","Sign in is denied when the registered email is submitted without a password","0"
"0","","0","EventHub API - Events","1","0","Retrieve all events","0"
"0","","0","EventHub Home Page","1","0","A signed-in user can sign out and return to the login page","0"
"0","","0","EventHub Home Page","1","0","Navigation bar exposes primary application sections","0"
"0","","0","EventHub Home Page","1","0","User can navigate to My Bookings from the home page","0"
"0","","0","EventHub User Sign In","1","0","Sign in is denied for an unregistered email address","0"
"0","","0","EventHub My Bookings","1","0","Existing bookings expose management controls","0"
"0","","0","EventHub My Bookings","1","0","Bookings page provides a path to browse events","0"
"0","","0","EventHub User Sign In","1","0","Sign in is denied when the correct email is paired with a wrong password","0"
"0","","0","EventHub Events Discovery and Creation","1","0","Events listing page displays upcoming events","0"
"0","","0","EventHub Home Page","1","0","Home page displays hero content and featured events","0"
"0","","0","EventHub Events Discovery and Creation","1","0","Book Now opens the event booking details form","0"
"0","","0","EventHub User Sign In","1","0","A registered user can sign in with valid credentials","0"
